LineNo,TimeUS,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,U
7569,2658479695,3,466022800,1949,9,1,47.4985869,19.1990517,147.89,1.042161,25.58153,0.19,1
7629,2658679539,3,466023000,1949,9,1,47.4985883,19.1990528,147.83,0.7256032,29.74488,0.32,1
7689,2658879692,3,466023200,1949,9,1,47.4985896,19.1990538,147.76,0.8430895,22.3062,0.21,1
7749,2659079863,3,466023400,1949,9,1,47.4985906,19.1990547,147.72,0.4534314,41.42366,0.3,1
7810,2659279518,3,466023600,1949,9,1,47.4985909,19.1990556,147.7,0.3395585,76.373,0.12,1
7872,2659480140,3,466023800,1949,9,1,47.4985909,19.1990563,147.7,0.2147091,117.7585,0.23,1
7932,2659679617,3,466024000,1949,9,1,47.4985908,19.1990569,147.68,0.2683282,116.565,0.16,1
7994,2659879495,3,466024200,1949,9,1,47.4985906,19.1990577,147.74,0.3605551,109.44,0.01,1
8056,2660099376,3,466024400,1949,9,1,47.4985903,19.1990588,147.72,0.4205948,118.393,0.12,1
8114,2660279544,3,466024600,1949,9,1,47.4985902,19.1990599,147.71,0.4104875,87.20729,0.06,1
8180,2660479657,3,466024800,1949,9,1,47.4985904,19.1990611,147.65,0.4404543,50.52754,0.11,1
8242,2660679820,3,466025000,1949,9,1,47.4985909,19.1990623,147.68,0.5220153,69.82935,0.15,1
8304,2660879664,3,466025200,1949,9,1,47.4985914,19.1990638,147.66,0.7211102,56.30993,0.23,1
8366,2661079645,3,466025400,1949,9,1,47.4985921,19.1990655,147.67,0.6664082,64.20396,0.29,1
8428,2661279770,3,466025600,1949,9,1,47.4985929,19.1990675,147.64,1.040192,52.02839,0.15,1
8494,2661479598,3,466025800,1949,9,1,47.4985939,19.1990696,147.61,0.9404786,54.95807,0.23,1
8556,2661679718,3,466026000,1949,9,1,47.4985948,19.1990717,147.52,0.8508819,60.42216,0.41,1
8618,2661879701,3,466026200,1949,9,1,47.4985955,19.1990735,147.47,0.7580237,53.58362,0.27,1
8680,2662079518,3,466026400,1949,9,1,47.4985959,19.1990748,147.41,0.3705401,86.90594,0.42,1
8742,2662279608,3,466026600,1949,9,1,47.4985961,19.1990758,147.31,0.4022437,55.12467,0.18,1
8806,2662479636,3,466026800,1949,9,1,47.4985966,19.1990767,147.35,0.532635,39.66784,-0.16,1
8868,2662679708,3,466027000,1949,9,1,47.498597,19.1990772,147.36,0.0728011,15.94539,-0.26,1
8930,2662879720,3,466027200,1949,9,1,47.4985969,19.1990771,147.67,0.2325941,154.5367,-0.78,1
8994,2663079601,3,466027400,1949,9,1,47.4985967,19.199077,147.75,0.2325941,295.4633,-0.73,1
9057,2663279873,3,466027600,1949,9,1,47.4985968,19.1990766,147.83,0.2163331,303.6901,-0.69,1
9121,2663479695,3,466027800,1949,9,1,47.4985969,19.1990762,147.84,0.1529706,281.3099,-0.39,1
9185,2663679664,3,466028000,1949,9,1,47.498597,19.199076,147.87,0.1208305,335.5561,-0.29,1
9247,2663879653,3,466028200,1949,9,1,47.4985968,19.199076,147.88,0.2202272,182.6026,-0.23,1
9311,2664079720,3,466028400,1949,9,1,47.4985964,19.199076,147.89,0.1581139,198.435,-0.11,1
9374,2664279643,3,466028600,1949,9,1,47.4985958,19.199076,147.97,0.4148493,164.6237,-0.38,1
9438,2664479941,3,466028800,1949,9,1,47.4985952,19.1990763,148.02,0.2334523,170.1342,-0.36,1
9500,2664679527,3,466029000,1949,9,1,47.4985947,19.1990765,148.07,0.2435159,160.821,-0.47,1
9564,2664879879,3,466029200,1949,9,1,47.4985942,19.1990764,148.18,0.2983287,193.5704,-0.58,1
9626,2665079728,3,466029400,1949,9,1,47.4985937,19.1990765,148.34,0.2594224,152.4472,-0.79,1
9688,2665279681,3,466029600,1949,9,1,47.4985935,19.1990766,148.43,0.05385165,248.1986,-0.6,1
9752,2665479743,3,466029800,1949,9,1,47.4985935,19.1990765,148.47,0.06,0,-0.39,1
9814,2665679501,3,466030000,1949,9,1,47.4985934,19.1990764,148.47,0.1360147,233.9726,-0.05,1
9878,2665879616,3,466030200,1949,9,1,47.4985934,19.1990761,148.45,0.1077033,291.8014,0.15,1
9940,2666079691,3,466030400,1949,9,1,47.4985935,19.1990755,148.48,0.2137756,280.7843,0.14,1
10002,2666280014,3,466030600,1949,9,1,47.4985936,19.1990749,148.44,0.2376973,292.249,0.09,1
10067,2666479470,3,466030800,1949,9,1,47.4985937,19.1990745,148.45,0.07810249,309.8056,-0.09999999,1
10129,2666679534,3,466031000,1949,9,1,47.4985939,19.1990739,148.5,0.3301515,305.1342,-0.09999999,1
